alpha,beta,rho,q,mean
0,0,0.3,1,2584.497
0,0,0.3,100,2612.654
0,0,0.3,10000,2630.897
0,0,0.5,1,2576.0930000000003
0,0,0.5,100,2544.8459999999995
0,0,0.5,10000,2650.4759999999997
0,0,0.7,1,2637.667
0,0,0.7,100,2597.1339999999996
0,0,0.7,10000,2606.9320000000002
0,0,0.9,1,2588.0080000000003
0,0,0.9,100,2545.6639999999998
0,0,0.9,10000,2541.986
0,0,0.999,1,2573.161
0,0,0.999,100,2648.233
0,0,0.999,10000,2625.6189999999997
0,1,0.3,1,1978.9830000000002
0,1,0.3,100,1919.9419999999998
0,1,0.3,10000,1962.3859999999997
0,1,0.5,1,1997.3619999999999
0,1,0.5,100,1924.6919999999998
0,1,0.5,10000,1934.0190000000002
0,1,0.7,1,1958.9890000000003
0,1,0.7,100,1934.6770000000001
0,1,0.7,10000,1963.6640000000002
0,1,0.9,1,1930.2409999999995
0,1,0.9,100,1923.259
0,1,0.9,10000,1904.5220000000002
0,1,0.999,1,1958.1000000000004
0,1,0.999,100,1933.25
0,1,0.999,10000,1980.131
0,2,0.3,1,1447.356
0,2,0.3,100,1470.5010000000002
0,2,0.3,10000,1503.831
0,2,0.5,1,1434.8300000000004
0,2,0.5,100,1454.0080000000003
0,2,0.5,10000,1451.101
0,2,0.7,1,1470.7059999999997
0,2,0.7,100,1483.152
0,2,0.7,10000,1476.136
0,2,0.9,1,1461.386
0,2,0.9,100,1442.8290000000002
0,2,0.9,10000,1489.1280000000002
0,2,0.999,1,1488.689
0,2,0.999,100,1434.027
0,2,0.999,10000,1468.399
0,5,0.3,1,1035.0970000000002
0,5,0.3,100,1035.562
0,5,0.3,10000,1044.7440000000001
0,5,0.5,1,1025.274
0,5,0.5,100,1009.8610000000001
0,5,0.5,10000,1041.355
0,5,0.7,1,1052.3830000000003
0,5,0.7,100,1024.318
0,5,0.7,10000,1040.1760000000002
0,5,0.9,1,1047.511
0,5,0.9,100,1035.463
0,5,0.9,10000,1041.777
0,5,0.999,1,1050.596
0,5,0.999,100,1056.2369999999999
0,5,0.999,10000,1048.125
0.5,0,0.3,1,2535.9559999999997
0.5,0,0.3,100,2525.606
0.5,0,0.3,10000,2627.9759999999997
0.5,0,0.5,1,2585.98
0.5,0,0.5,100,2598.087
0.5,0,0.5,10000,2541.594
0.5,0,0.7,1,2610.855
0.5,0,0.7,100,2528.5019999999995
0.5,0,0.7,10000,2529.995
0.5,0,0.9,1,2572.126
0.5,0,0.9,100,2621.12
0.5,0,0.9,10000,2684.2870000000003
0.5,0,0.999,1,2592.1079999999997
0.5,0,0.999,100,2604.196
0.5,0,0.999,10000,2539.5409999999997
0.5,1,0.3,1,1537.9410000000003
0.5,1,0.3,100,1552.375
0.5,1,0.3,10000,1481.747
0.5,1,0.5,1,1583.298
0.5,1,0.5,100,1569.6170000000002
0.5,1,0.5,10000,1547.047
0.5,1,0.7,1,1546.1740000000002
0.5,1,0.7,100,1550.649
0.5,1,0.7,10000,1598.761
0.5,1,0.9,1,1562.5159999999998
0.5,1,0.9,100,1613.453
